;track_uri;danceability;energy;key;loudness;speechiness;acousticness;instrumentalness;valence;tempo
4022;11DjZQEZ69EXLo77HVj6yW;0.702;0.772;9;-9.677;0.0277;0.0312;0.00837;0.973;141.694
4023;5MgIar3zeFnDxTgvr3U37Z;0.531;0.887;5;-4.417;0.0323;0.00264;0.000502;0.621;104.025
4024;7CDaY0pk8qGFoahgxVVbaX;0.899;0.427;1;-12.069;0.102;0.478;0.883;0.523;120.017
4025;19gEmPjfqSZT0ulDRfjl0m;0.794;0.51;9;-7.314;0.42;0.0505;1.81e-06;0.18;167.879
4026;4NNzO1RQqdYzQXTISmHZDe;0.368;0.982;9;-3.202;0.129;2.84e-05;8.2e-06;0.272;85.151
4027;2wO8aOvN1ogLy1N8XT1WJE;0.261;0.964;9;-6.654;0.0638;0.00141;2.87e-05;0.326;162.902
4028;3Ud6fFep5ZlXzRWw6Sm8no;0.462;0.918;4;-8.507;0.0959;0.405;0.00033;0.802;172.427
4029;4qknM1pQz53QOyfDVTjcM9;0.74;0.879;9;-2.251;0.105;0.193;8.25e-05;0.948;103.71
4030;7COXchtUOMd6uIT6HvmRaI;0.599;0.733;11;-7.058;0.203;0.176;0.0;0.534;102.211
4031;1blo7jFYjDyBkD43T4cvjY;0.949;0.627;2;-5.462;0.151;0.0547;0.000114;0.716;130.019
4032;0FmBPd3qWisWV1FA5RDx8v;0.397;0.979;2;-3.991;0.113;2.46e-05;0.894;0.0425;125.013
4033;5eFxwmqKrHpSQDOEIFYlgY;0.553;0.853;8;-3.668;0.0339;0.000684;0.0;0.506;122.023
4034;2cnl9YfDfONpYMA61jO8hf;0.774;0.386;8;-14.022;0.149;0.56;0.000239;0.669;99.808
4035;7rbxwTq9AK7a6jvEU1Gvsz;0.499;0.821;3;-3.961;0.0413;0.000592;7.06e-05;0.358;150.013
4036;2SZy40PLDk3vFucXUGFCFA;0.874;0.67;11;-6.064;0.126;0.165;0.0;0.68;124.011
4037;116H0KvKr2Zl4RPuVBruDO;0.817;0.539;6;-6.349;0.0621;0.0141;0.000496;0.158;97.062
4038;2i5K0EdMY5zFs9t7KfYK3k;0.42;0.746;8;-10.628;0.0467;0.0141;0.0;0.229;111.886
4039;2grjqo0Frpf2okIBiifQKs;0.697;0.832;9;-7.264;0.0298;0.168;0.00131;0.979;125.926
4040;1ibeKVCiXORhvUpMmtsQWq;0.457;0.83;5;-5.262;0.0321;0.00682;0.00337;0.602;99.93
4041;2o0fZALPlVohLSNrjYN3I5;0.311;0.884;11;-4.313;0.0703;0.000133;0.0265;0.364;131.733
4042;5nakPOknHu3XkeeHoVvhCd;0.666;0.475;4;-5.618;0.0268;0.0189;1.31e-06;0.183;123.67
